년도,지역,단란주점,유흥주점
2014,강남구,328,276
2014,강동구,105,151
2014,강북구,129,74
2014,강서구,169,114
2014,관악구,100,228
2014,광진구,89,19
2014,구로구,100,40
2014,금천구,84,60
2014,노원구,57,28
2014,도봉구,56,21
2014,동대문구,111,81
2014,동작구,53,52
2014,마포구,95,65
2014,서대문구,65,32
2014,서초구,113,83
2014,성동구,53,24
2014,성북구,72,8
2014,송파구,180,96
2014,양천구,80,7
2014,영등포구,277,186
2014,용산구,121,35
2014,은평구,141,83
2014,종로구,136,224
2014,중구,101,257
2014,중랑구,104,26
2015,강남구,313,269
2015,강동구,103,147
2015,강북구,129,71
2015,강서구,168,119
2015,관악구,94,218
2015,광진구,87,17
2015,구로구,97,33
2015,금천구,80,57
2015,노원구,56,25
2015,도봉구,56,22
2015,동대문구,112,79
2015,동작구,50,51
2015,마포구,88,56
2015,서대문구,63,33
2015,서초구,113,77
2015,성동구,52,24
2015,성북구,70,8
2015,송파구,184,103
2015,양천구,75,6
2015,영등포구,269,179
2015,용산구,118,33
2015,은평구,150,83
2015,종로구,136,223
2015,중구,95,252
2015,중랑구,103,27
2016,강남구,301,255
2016,강동구,81,133
2016,강북구,128,72
2016,강서구,165,117
2016,관악구,94,219
2016,광진구,87,18
2016,구로구,97,37
2016,금천구,76,52
2016,노원구,56,25
2016,도봉구,55,21
2016,동대문구,115,75
2016,동작구,49,48
2016,마포구,85,64
2016,서대문구,63,32
2016,서초구,111,74
2016,성동구,49,23
2016,성북구,70,8
2016,송파구,181,107
2016,양천구,74,6
2016,영등포구,262,173
2016,용산구,115,30
2016,은평구,149,77
2016,종로구,122,194
2016,중구,97,250
2016,중랑구,104,27
2017,강남구,287,233
2017,강동구,95,143
2017,강북구,127,74
2017,강서구,168,133
2017,관악구,94,220
2017,광진구,86,18
2017,구로구,97,33
2017,금천구,78,53
2017,노원구,51,24
2017,도봉구,55,23
2017,동대문구,114,75
2017,동작구,51,49
2017,마포구,84,64
2017,서대문구,66,30
2017,서초구,111,72
2017,성동구,42,23
2017,성북구,69,8
2017,송파구,174,103
2017,양천구,73,5
2017,영등포구,256,171
2017,용산구,106,30
2017,은평구,138,77
2017,종로구,135,220
2017,중구,91,229
2017,중랑구,104,26
2018,강남구,266,211
2018,강동구,91,133
2018,강북구,126,74
2018,강서구,171,133
2018,관악구,93,212
2018,광진구,86,18
2018,구로구,96,35
2018,금천구,73,51
2018,노원구,49,23
2018,도봉구,55,23
2018,동대문구,91,71
2018,동작구,44,50
2018,마포구,82,63
2018,서대문구,63,30
2018,서초구,110,67
2018,성동구,41,23
2018,성북구,65,8
2018,송파구,161,99
2018,양천구,73,5
2018,영등포구,208,159
2018,용산구,108,29
2018,은평구,137,82
2018,종로구,130,210
2018,중구,92,233
2018,중랑구,103,24
